Wave number (cm-1),Transmitance (%),,
,PB made with 25 g rice bran,PB made with 50 g rice bran,PB made with 100 g rice bran
693.7952,-2.54862,-2.85142,-2.79566
694.2773,-2.52341,-2.8346,-2.78334
694.7594,-2.49883,-2.81783,-2.77028
695.2416,-2.47538,-2.80119,-2.75662
695.7237,-2.45351,-2.78474,-2.74266
696.2058,-2.43344,-2.76861,-2.72878
696.688,-2.41503,-2.75285,-2.71533
697.1701,-2.3978,-2.73746,-2.70256
697.6522,-2.38112,-2.72238,-2.6905
698.1344,-2.36434,-2.70746,-2.67901
698.6165,-2.34705,-2.69255,-2.66783
699.0986,-2.32911,-2.67758,-2.65664
699.5808,-2.31063,-2.66257,-2.64528
700.0629,-2.29179,-2.64775,-2.63373
700.545,-2.2728,-2.63338,-2.62215
701.0272,-2.25375,-2.61976,-2.6108
701.5093,-2.23466,-2.60707,-2.59997
701.9915,-2.21562,-2.59528,-2.58982
702.4736,-2.1968,-2.58409,-2.58039
702.9557,-2.17849,-2.57303,-2.5716
703.4379,-2.16102,-2.56142,-2.56327
703.92,-2.14454,-2.54864,-2.55522
704.4022,-2.12898,-2.53416,-2.54725
704.8843,-2.11401,-2.51771,-2.53919
705.3665,-2.09908,-2.49933,-2.53093
705.8486,-2.08365,-2.47931,-2.52233
706.3307,-2.06744,-2.45817,-2.51328
706.8129,-2.05043,-2.4365,-2.50366
707.295,-2.03284,-2.41491,-2.49345
707.7771,-2.01506,-2.39381,-2.48267
708.2593,-1.99735,-2.37347,-2.4714
708.7414,-1.97973,-2.35389,-2.45979
709.2235,-1.96207,-2.33489,-2.44795
709.7057,-1.94405,-2.31618,-2.436
710.1878,-1.92544,-2.29751,-2.42395
710.6699,-1.90625,-2.27875,-2.41183
711.1521,-1.88668,-2.2599,-2.39958
711.6342,-1.86706,-2.24108,-2.38714
712.1163,-1.84778,-2.22247,-2.37446
712.5985,-1.82902,-2.20419,-2.3614
713.0806,-1.81078,-2.1862,-2.34786
713.5627,-1.79297,-2.16835,-2.33366
714.0449,-1.77545,-2.15035,-2.31871
714.527,-1.75821,-2.13191,-2.30299
715.0092,-1.7414,-2.11284,-2.28657
715.4913,-1.72525,-2.09312,-2.26969
715.9734,-1.7099,-2.07295,-2.2526
716.4556,-1.69538,-2.05258,-2.23557
716.9377,-1.68142,-2.03233,-2.21873
717.4199,-1.66761,-2.01245,-2.20204
717.902,-1.65354,-1.99308,-2.18531
718.3842,-1.6389,-1.97424,-2.1682
718.8663,-1.62358,-1.95591,-2.15041
719.3484,-1.60768,-1.93799,-2.1317
719.8306,-1.59138,-1.92037,-2.11204
720.3127,-1.57484,-1.90293,-2.09154
720.7948,-1.55815,-1.88551,-2.07046
